name,task,input,loop-number,count,time
proposed,heavy,50000000,1,1,5464884
proposed,heavy,50000000,1,2,5187994
proposed,heavy,50000000,1,3,5200162
proposed,heavy,50000000,1,4,5248556
proposed,heavy,50000000,1,5,5216233
proposed,heavy,50000000,1,6,5214670
proposed,heavy,50000000,1,7,5214550
proposed,heavy,50000000,1,8,5183402
proposed,heavy,50000000,1,9,5200687
proposed,heavy,50000000,1,10,5232226
proposed,heavy,50000000,2,1,5521931
proposed,heavy,50000000,2,2,5278887
proposed,heavy,50000000,2,3,5221188
proposed,heavy,50000000,2,4,5230368
proposed,heavy,50000000,2,5,5203337
proposed,heavy,50000000,2,6,5211681
proposed,heavy,50000000,2,7,5212439
proposed,heavy,50000000,2,8,5204341
proposed,heavy,50000000,2,9,5209176
proposed,heavy,50000000,2,10,5203591
proposed,heavy,50000000,3,1,5507397
proposed,heavy,50000000,3,2,5211690
proposed,heavy,50000000,3,3,5231013
proposed,heavy,50000000,3,4,5193805
proposed,heavy,50000000,3,5,5203393
proposed,heavy,50000000,3,6,5202487
proposed,heavy,50000000,3,7,5192203
proposed,heavy,50000000,3,8,5210302
proposed,heavy,50000000,3,9,5213314
proposed,heavy,50000000,3,10,5214722
proposed,heavy,50000000,4,1,5529152
proposed,heavy,50000000,4,2,5234391
proposed,heavy,50000000,4,3,5166179
proposed,heavy,50000000,4,4,5209413
proposed,heavy,50000000,4,5,5202551
proposed,heavy,50000000,4,6,5198902
proposed,heavy,50000000,4,7,5195616
proposed,heavy,50000000,4,8,5176790
proposed,heavy,50000000,4,9,5176907
proposed,heavy,50000000,4,10,5332983
proposed,heavy,50000000,5,1,5491624
proposed,heavy,50000000,5,2,5175285
proposed,heavy,50000000,5,3,5183784
proposed,heavy,50000000,5,4,5217233
proposed,heavy,50000000,5,5,5219725
proposed,heavy,50000000,5,6,5204560
proposed,heavy,50000000,5,7,5192277
proposed,heavy,50000000,5,8,5192315
proposed,heavy,50000000,5,9,5197109
proposed,heavy,50000000,5,10,5183594
proposed,heavy,50000000,6,1,5489377
proposed,heavy,50000000,6,2,5230374
proposed,heavy,50000000,6,3,5243561
proposed,heavy,50000000,6,4,5201381
proposed,heavy,50000000,6,5,5208711
proposed,heavy,50000000,6,6,5209955
proposed,heavy,50000000,6,7,5198222
proposed,heavy,50000000,6,8,5197848
proposed,heavy,50000000,6,9,5206149
proposed,heavy,50000000,6,10,5213944
proposed,heavy,50000000,7,1,5526816
proposed,heavy,50000000,7,2,5169581
proposed,heavy,50000000,7,3,5186994
proposed,heavy,50000000,7,4,5234875
proposed,heavy,50000000,7,5,5182677
proposed,heavy,50000000,7,6,5191431
proposed,heavy,50000000,7,7,5188639
proposed,heavy,50000000,7,8,5202059
proposed,heavy,50000000,7,9,5214977
proposed,heavy,50000000,7,10,5187439
proposed,heavy,50000000,8,1,5486331
proposed,heavy,50000000,8,2,5182539
proposed,heavy,50000000,8,3,5187352
proposed,heavy,50000000,8,4,5211289
proposed,heavy,50000000,8,5,5182209
proposed,heavy,50000000,8,6,5174018
proposed,heavy,50000000,8,7,5188039
proposed,heavy,50000000,8,8,5199219
proposed,heavy,50000000,8,9,5193133
proposed,heavy,50000000,8,10,5180938
proposed,heavy,50000000,9,1,5494077
proposed,heavy,50000000,9,2,5219390
proposed,heavy,50000000,9,3,5186706
proposed,heavy,50000000,9,4,5177846
proposed,heavy,50000000,9,5,5215355
proposed,heavy,50000000,9,6,5197496
proposed,heavy,50000000,9,7,5167152
proposed,heavy,50000000,9,8,5185571
proposed,heavy,50000000,9,9,5185619
proposed,heavy,50000000,9,10,5217796
proposed,heavy,50000000,10,1,5482671
proposed,heavy,50000000,10,2,5205008
proposed,heavy,50000000,10,3,5208863
proposed,heavy,50000000,10,4,5201261
proposed,heavy,50000000,10,5,5215250
proposed,heavy,50000000,10,6,5204298
proposed,heavy,50000000,10,7,5204832
proposed,heavy,50000000,10,8,5190377
proposed,heavy,50000000,10,9,5252633
proposed,heavy,50000000,10,10,5181871
proposed,heavy,50000000,11,1,5522096
proposed,heavy,50000000,11,2,5188699
proposed,heavy,50000000,11,3,5215444
proposed,heavy,50000000,11,4,5191115
proposed,heavy,50000000,11,5,5188644
proposed,heavy,50000000,11,6,5190485
proposed,heavy,50000000,11,7,5208271
proposed,heavy,50000000,11,8,5209042
proposed,heavy,50000000,11,9,5191017
proposed,heavy,50000000,11,10,5173971
proposed,heavy,50000000,12,1,5685930
proposed,heavy,50000000,12,2,5204233
proposed,heavy,50000000,12,3,6645934
proposed,heavy,50000000,12,4,5205243
proposed,heavy,50000000,12,5,5176222
proposed,heavy,50000000,12,6,5202491
proposed,heavy,50000000,12,7,5196339
proposed,heavy,50000000,12,8,5218464
proposed,heavy,50000000,12,9,5201963
proposed,heavy,50000000,12,10,5238222
proposed,heavy,50000000,13,1,5499682
proposed,heavy,50000000,13,2,6679153
proposed,heavy,50000000,13,3,5198839
proposed,heavy,50000000,13,4,5198767
proposed,heavy,50000000,13,5,5195623
proposed,heavy,50000000,13,6,5149079
proposed,heavy,50000000,13,7,5194406
proposed,heavy,50000000,13,8,5192142
proposed,heavy,50000000,13,9,5207870
proposed,heavy,50000000,13,10,5241963
proposed,heavy,50000000,14,1,5500817
proposed,heavy,50000000,14,2,5212226
proposed,heavy,50000000,14,3,5197763
proposed,heavy,50000000,14,4,5188161
proposed,heavy,50000000,14,5,5180673
proposed,heavy,50000000,14,6,5189444
proposed,heavy,50000000,14,7,5199024
proposed,heavy,50000000,14,8,5208934
proposed,heavy,50000000,14,9,5190257
proposed,heavy,50000000,14,10,6840290
proposed,heavy,50000000,15,1,5492763
proposed,heavy,50000000,15,2,5188396
proposed,heavy,50000000,15,3,5194855
proposed,heavy,50000000,15,4,5238273
proposed,heavy,50000000,15,5,5189891
proposed,heavy,50000000,15,6,5222819
proposed,heavy,50000000,15,7,5197787
proposed,heavy,50000000,15,8,5220837
proposed,heavy,50000000,15,9,5237708
proposed,heavy,50000000,15,10,5211074
proposed,heavy,50000000,16,1,5429826
proposed,heavy,50000000,16,2,5203723
proposed,heavy,50000000,16,3,5203018
proposed,heavy,50000000,16,4,5179051
proposed,heavy,50000000,16,5,5205449
proposed,heavy,50000000,16,6,5198632
proposed,heavy,50000000,16,7,5180040
proposed,heavy,50000000,16,8,5206242
proposed,heavy,50000000,16,9,5212986
proposed,heavy,50000000,16,10,5190087
proposed,heavy,50000000,17,1,5489175
proposed,heavy,50000000,17,2,5177698
proposed,heavy,50000000,17,3,5216477
proposed,heavy,50000000,17,4,5225989
proposed,heavy,50000000,17,5,5208151
proposed,heavy,50000000,17,6,5182555
proposed,heavy,50000000,17,7,5193732
proposed,heavy,50000000,17,8,5198759
proposed,heavy,50000000,17,9,5193144
proposed,heavy,50000000,17,10,5214392
proposed,heavy,50000000,18,1,5499698
proposed,heavy,50000000,18,2,5214196
proposed,heavy,50000000,18,3,5186218
proposed,heavy,50000000,18,4,5185867
proposed,heavy,50000000,18,5,5208487
proposed,heavy,50000000,18,6,5214878
proposed,heavy,50000000,18,7,5235649
proposed,heavy,50000000,18,8,6806708
proposed,heavy,50000000,18,9,5184240
proposed,heavy,50000000,18,10,5202207
proposed,heavy,50000000,19,1,5466113
proposed,heavy,50000000,19,2,5180001
proposed,heavy,50000000,19,3,6869062
proposed,heavy,50000000,19,4,5208441
proposed,heavy,50000000,19,5,5201991
proposed,heavy,50000000,19,6,5172973
proposed,heavy,50000000,19,7,5175541
proposed,heavy,50000000,19,8,5189563
proposed,heavy,50000000,19,9,5180255
proposed,heavy,50000000,19,10,5170649
proposed,heavy,50000000,20,1,5471349
proposed,heavy,50000000,20,2,5198633
proposed,heavy,50000000,20,3,5186258
proposed,heavy,50000000,20,4,5216079
proposed,heavy,50000000,20,5,5203486
proposed,heavy,50000000,20,6,5220684
proposed,heavy,50000000,20,7,5173257
proposed,heavy,50000000,20,8,5178845
proposed,heavy,50000000,20,9,5187773
proposed,heavy,50000000,20,10,5177345
proposed,heavy,50000000,21,1,5506852
proposed,heavy,50000000,21,2,5233376
proposed,heavy,50000000,21,3,5211123
proposed,heavy,50000000,21,4,5157231
proposed,heavy,50000000,21,5,5201729
proposed,heavy,50000000,21,6,5185210
proposed,heavy,50000000,21,7,5180313
proposed,heavy,50000000,21,8,5200962
proposed,heavy,50000000,21,9,5235049
proposed,heavy,50000000,21,10,5170515
proposed,heavy,50000000,22,1,5456744
proposed,heavy,50000000,22,2,5205252
proposed,heavy,50000000,22,3,5206189
proposed,heavy,50000000,22,4,5229858
proposed,heavy,50000000,22,5,5198092
